Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1SbSosCApZQlVD3lVWcwBBBh,prod_TYZy6F1JiT9P5I,Gemini 3 Pro Enterprise,,txcd_10000000,,2025-12-06 21:15,"14,00",eur,,,,,per_unit,,unspecified
price_1SbSnMCApZQlVD3lzhtVIggD,prod_TYZxYNpduVmJwH,Gemini 2.5 Pro Enterprise,,txcd_10000000,,2025-12-06 21:13,"10,00",eur,,,,,per_unit,,unspecified
price_1SbSlLCApZQlVD3lqvGFo9kO,prod_TYZvCyk8Ol3xED,Gemini 3 Pro,,txcd_10000000,,2025-12-06 21:11,"20,00",eur,,,,,per_unit,,unspecified
price_1SbSlLCApZQlVD3lsqz9wbXH,prod_TYZvCyk8Ol3xED,Gemini 3 Pro,,txcd_10000000,,2025-12-06 21:11,"40,00",eur,,,,,per_unit,,unspecified
price_1SbSlLCApZQlVD3lrqQiTMwB,prod_TYZvCyk8Ol3xED,Gemini 3 Pro,,txcd_10000000,,2025-12-06 21:11,"80,00",eur,,,,,per_unit,,unspecified
price_1SbSlLCApZQlVD3l9QxJX0jk,prod_TYZvCyk8Ol3xED,Gemini 3 Pro,,txcd_10000000,,2025-12-06 21:11,"9,00",eur,,,,,per_unit,,unspecified
price_1SbSlLCApZQlVD3lZZtVhBQZ,prod_TYZvCyk8Ol3xED,Gemini 3 Pro,,txcd_10000000,,2025-12-06 21:11,"4,00",eur,,,,,per_unit,,unspecified
price_1SbSiqCApZQlVD3lEkYAnlTa,prod_TYZs5FlS0Z2MH8,Gemini 2.5 Pro,,txcd_10000000,,2025-12-06 21:08,"16,00",eur,,,,,per_unit,,unspecified
price_1SbSiqCApZQlVD3lWN8aRySb,prod_TYZs5FlS0Z2MH8,Gemini 2.5 Pro,,txcd_10000000,,2025-12-06 21:08,"65,00",eur,,,,,per_unit,,unspecified
price_1SbSiqCApZQlVD3lnP1zXOTX,prod_TYZs5FlS0Z2MH8,Gemini 2.5 Pro,,txcd_10000000,,2025-12-06 21:08,"33,00",eur,,,,,per_unit,,unspecified
price_1SbSiqCApZQlVD3lucT5umZ6,prod_TYZs5FlS0Z2MH8,Gemini 2.5 Pro,,txcd_10000000,,2025-12-06 21:08,"8,00",eur,,,,,per_unit,,unspecified
price_1SbSiqCApZQlVD3ldRoYTUv3,prod_TYZs5FlS0Z2MH8,Gemini 2.5 Pro,,txcd_10000000,,2025-12-06 21:08,"4,00",eur,,,,,per_unit,,unspecified
price_1SbSh0CApZQlVD3lmIuvsYAF,prod_TYZqW1aGYIANHn,Gemini 2.5 Flash,,txcd_10000000,,2025-12-06 21:07,"17,00",eur,,,,,per_unit,,unspecified
price_1SbSh0CApZQlVD3li1EcsjRe,prod_TYZqW1aGYIANHn,Gemini 2.5 Flash,,txcd_10000000,,2025-12-06 21:07,"9,00",eur,,,,,per_unit,,unspecified
price_1SbSh0CApZQlVD3l7i1KMZxZ,prod_TYZqW1aGYIANHn,Gemini 2.5 Flash,,txcd_10000000,,2025-12-06 21:07,"5,00",eur,,,,,per_unit,,unspecified
price_1SbSh0CApZQlVD3lS02VJ5ZM,prod_TYZqW1aGYIANHn,Gemini 2.5 Flash,,txcd_10000000,,2025-12-06 21:07,"2,00",eur,,,,,per_unit,,unspecified
price_1SbSh0CApZQlVD3liPAyyD4y,prod_TYZqW1aGYIANHn,Gemini 2.5 Flash,,txcd_10000000,,2025-12-06 21:07,"1,00",eur,,,,,per_unit,,unspecified
price_1SbSRWCApZQlVD3lVygxedWv,prod_TYZYYkXDvvgx3k,Enterprise,,txcd_10000000,,2025-12-06 20:51,"2000,00",eur,year,1,licensed,,per_unit,,inclusive
price_1SbSRBCApZQlVD3lOYFeJiXj,prod_TYZXaendiEPmAB,Developers,,txcd_10000000,,2025-12-06 20:50,"300,00",eur,year,1,licensed,,per_unit,,inclusive
price_1SbSPxCApZQlVD3lzw5PeubP,prod_TYZWvlhVj6wH7r,Individual Plan,,txcd_10000000,,2025-12-06 20:49,"150,00",eur,year,1,licensed,,per_unit,,inclusive
price_1SbSPJCApZQlVD3lbyIRHXqT,prod_TYZYYkXDvvgx3k,Enterprise,,txcd_10000000,,2025-12-06 20:48,"200,00",eur,month,1,licensed,,per_unit,,inclusive
price_1SbSOBCApZQlVD3l4t3YD8Zu,prod_TYZXaendiEPmAB,Developers,,txcd_10000000,,2025-12-06 20:47,"30,00",eur,month,1,licensed,,per_unit,,inclusive
price_1SbSNUCApZQlVD3lD47n3Vyn,prod_TYZWvlhVj6wH7r,Individual Plan,,txcd_10000000,,2025-12-06 20:46,"15,00",eur,month,1,licensed,,per_unit,,inclusive
